,0
0,Alabama
1,Arizona
2,Arkansas
3,California
4,Colorado
5,Connecticut
6,Delaware
7,Florida
8,Georgia
9,Hawaii
10,Idaho
11,Illinois
12,Indiana
13,Iowa
14,Kansas
15,Kentucky
16,Louisiana
17,Maine
18,Maryland
19,Massachusetts
20,Michigan
21,Minnesota
22,Mississippi
23,Missouri
24,Montana
25,Nebraska
26,Nevada
27,New Hampshire
28,New Jersey
29,New Mexico
30,New York
31,North Carolina
32,North Dakota
33,Ohio
34,Oklahoma
35,Oregon
36,Pennsylvania
37,Rhode Island
38,South Carolina
39,South Dakota
40,Tennessee
41,Texas
42,Utah
43,Vermont
44,Virginia
45,Washington
46,West Virginia
47,Wisconsin
48,Wyoming
49,Alaska
50,Arizona
51,Arkansas
52,California
53,Colorado
54,Connecticut
55,Delaware
56,Florida
57,Georgia
58,Hawaii
59,Idaho
60,Illinois
61,Indiana
62,Iowa
63,Kansas
64,Kentucky
65,Louisiana
66,Maine
67,Maryland
68,Massachusetts
69,Michigan
70,Minnesota
71,Mississippi
72,Missouri
73,Montana
74,Nebraska
75,Nevada
76,New Hampshire
77,New Jersey
78,New Mexico
79,New York
80,North Carolina
81,North Dakota
82,Ohio
83,Oklahoma
84,Oregon
85,Pennsylvania
86,Rhode Island
87,South Carolina
88,South Dakota
89,Tennessee
90,Texas
91,Utah
92,Vermont
93,Virginia
94,Washington
95,West Virginia
96,Wisconsin
97,Wyoming
98,Alabama
99,Alaska
100,Arkansas
101,California
102,Colorado
103,Connecticut
104,Delaware
105,Florida
106,Georgia
107,Hawaii
108,Idaho
109,Illinois
110,Indiana
111,Iowa
112,Kansas
113,Kentucky
114,Louisiana
115,Maine
116,Maryland
117,Massachusetts
118,Michigan
119,Minnesota
120,Mississippi
121,Missouri
122,Montana
123,Nebraska
124,Nevada
125,New Hampshire
126,New Jersey
127,New Mexico
128,New York
129,North Carolina
130,North Dakota
131,Ohio
132,Oklahoma
133,Oregon
134,Pennsylvania
135,Rhode Island
136,South Carolina
137,South Dakota
138,Tennessee
139,Texas
140,Utah
141,Vermont
142,Virginia
143,Washington
144,West Virginia
145,Wisconsin
146,Wyoming
147,Alabama
148,Alaska
149,Arizona
150,Arkansas
151,California
152,Colorado
153,Connecticut
154,Delaware
155,Florida
156,Georgia
157,Hawaii
158,Idaho
159,Illinois
160,Indiana
161,Iowa
162,Kansas
163,Kentucky
164,Louisiana
165,Maine
166,Maryland
167,Massachusetts
168,Michigan
169,Minnesota
170,Mississippi
171,Missouri
172,Montana
173,Nebraska
174,Nevada
175,New Hampshire
176,New Jersey
177,New Mexico
178,North Carolina
179,North Dakota
180,Ohio
181,Oklahoma
182,Oregon
183,Pennsylvania
184,Rhode Island
185,South Carolina
186,South Dakota
187,Tennessee
188,Texas
189,Utah
190,Vermont
191,Virginia
192,Washington
193,West Virginia
194,Wisconsin
195,Wyoming
196,Alabama
197,Alaska
198,Arizona
199,Arkansas
200,California
201,Colorado
202,Connecticut
203,Delaware
204,Florida
205,Georgia
206,Hawaii
207,Idaho
208,Illinois
209,Indiana
210,Iowa
211,Kansas
212,Kentucky
213,Louisiana
214,Maine
215,Maryland
216,Massachusetts
217,Michigan
218,Minnesota
219,Mississippi
220,Missouri
221,Montana
222,Nebraska
223,Nevada
224,New Hampshire
225,New Mexico
226,New York
227,North Carolina
228,North Dakota
229,Ohio
230,Oklahoma
231,Oregon
232,Pennsylvania
233,Rhode Island
234,South Carolina
235,South Dakota
236,Tennessee
237,Texas
238,Utah
239,Vermont
240,Virginia
241,Washington
242,West Virginia
243,Wisconsin
244,Wyoming
245,Alabama
246,Alaska
247,Arizona
248,Arkansas
249,California
250,Colorado
251,Connecticut
252,Delaware
253,Florida
254,Georgia
255,Hawaii
256,Idaho
257,Illinois
258,Indiana
259,Iowa
260,Kansas
261,Kentucky
262,Louisiana
263,Maine
264,Maryland
265,Massachusetts
266,Michigan
267,Minnesota
268,Mississippi
269,Missouri
270,Montana
271,Nebraska
272,Nevada
273,New Hampshire
274,New Jersey
275,New Mexico
276,New York
277,North Carolina
278,North Dakota
279,Oklahoma
280,Oregon
281,Pennsylvania
282,Rhode Island
283,South Carolina
284,South Dakota
285,Tennessee
286,Texas
287,Utah
288,Vermont
289,Virginia
290,Washington
291,West Virginia
292,Wisconsin
293,Wyoming
294,Alabama
295,Alaska
296,Arizona
297,California
298,Colorado
299,Connecticut
300,Delaware
301,Florida
302,Georgia
303,Hawaii
304,Idaho
305,Illinois
306,Indiana
307,Iowa
308,Kansas
309,Kentucky
310,Louisiana
311,Maine
312,Maryland
313,Massachusetts
314,Michigan
315,Minnesota
316,Mississippi
317,Missouri
318,Montana
319,Nebraska
320,Nevada
321,New Hampshire
322,New Jersey
323,New Mexico
324,New York
325,North Carolina
326,North Dakota
327,Ohio
328,Oklahoma
329,Oregon
330,Pennsylvania
331,Rhode Island
332,South Carolina
333,South Dakota
334,Tennessee
335,Texas
336,Utah
337,Vermont
338,Virginia
339,Washington
340,West Virginia
341,Wisconsin
342,Wyoming
